name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam,Season
Dwight McNeil,MID,Everton,0,0,6,0,17.9,534,143,1,0,3,6.4,2022-11-05T17:30:00Z,70,10,0,0,0,0,15,0,15441,2,0,6,2,-786,516,1302,52,TRUE,0,15,0,22-23
Jefferson Lerma Solís,MID,Bournemouth,0,0,10,0,10.5,64,144,4,0,5.9,12,2022-11-05T15:00:00Z,90,11,0,0,0,0,15,0,59201,3,4,36,1,-2982,1304,4286,49,FALSE,1,15,0,22-23
Ezri Konsa Ngoyo,DEF,Aston Villa,0,0,14,0,0.2,44,141,1,0,1.6,14,2022-11-06T14:00:00Z,90,14,0,0,0,0,15,0,37409,1,3,2,2,-3092,486,3578,44,TRUE,0,15,0,22-23
Chris Mepham,DEF,Bournemouth,0,0,7,0,10.4,71,144,4,0,3.9,19,2022-11-05T15:00:00Z,90,11,0,0,0,0,15,0,17664,3,4,10,-1,-481,1162,1643,44,FALSE,1,15,0,22-23
Josh Dasilva,MID,Brentford,0,0,8,0,2.3,83,146,1,0,0.4,1.4,2022-11-05T15:00:00Z,80,16,0,0,0,0,15,0,434337,2,2,0,2,-34683,13580,48263,43,FALSE,0,15,0,22-23
Roberto Firmino,FWD,Liverpool,0,0,4,0,3.6,279,148,1,0,3.8,2,2022-11-06T16:30:00Z,73,18,0,0,0,0,15,0,874024,2,1,32,2,-75189,93896,169085,81,FALSE,0,15,0,22-23
Thiago Alcántara do Nascimento,MID,Liverpool,0,0,13,0,27.3,277,148,1,0,6.7,22.4,2022-11-06T16:30:00Z,90,18,0,0,0,0,15,0,81693,2,1,17,2,-3126,3208,6334,52,FALSE,0,15,0,22-23
João Palhinha Gonçalves,MID,Fulham,0,0,10,0,0.7,220,145,2,0,1.1,9.8,2022-11-05T15:00:00Z,90,13,0,0,0,0,15,0,28324,1,2,0,2,-1788,763,2551,50,FALSE,0,15,0,22-23
Kieran Trippier,DEF,Newcastle,1,3,37,1,18.5,357,147,0,0,5.1,32.6,2022-11-06T14:00:00Z,79,17,0,0,0,0,15,0,6864281,4,1,0,12,238047,247397,9350,59,FALSE,0,15,0,22-23
Bernd Leno,GK,Fulham,0,0,16,0,0,2,145,2,0,1.9,19.4,2022-11-05T15:00:00Z,90,13,0,0,0,0,15,3,172523,1,2,0,2,-90,6349,6439,45,FALSE,0,15,0,22-23
