name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam
Patrick Bamford,FWD,Leeds,0,0,0,0,10.8,189,6,5,0,1.8,0,2021-08-14T11:30:00Z,76,13,0,0,0,0,1,0,1258401,1,5,8,2,0,0,0,80,FALSE,0,1,0
Jamie Vardy,FWD,Leicester,0,0,23,1,24.7,205,5,0,1,12.1,37.2,2021-08-14T14:00:00Z,90,20,0,0,0,0,1,0,1032316,0,1,59,5,0,0,0,105,TRUE,1,1,0
Alisson Ramses Becker,GK,Liverpool,0,0,26,1,0,231,7,0,0,2.9,29.4,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,3,382936,3,0,0,7,0,0,0,60,FALSE,0,1,0
Emiliano Buendía Stati,MID,Aston Villa,0,0,6,0,5.3,43,8,3,0,2,4.2,2021-08-14T14:00:00Z,71,18,0,0,0,0,1,0,386824,2,3,10,2,0,0,0,65,FALSE,0,1,0
Miguel Almirón,MID,Newcastle,0,0,12,0,13.8,308,9,4,0,4.2,10,2021-08-15T13:00:00Z,90,19,0,0,0,0,1,0,34866,4,2,18,2,0,0,0,55,TRUE,0,1,0
Pablo Fornals,MID,West Ham,1,0,24,0,48.9,423,9,2,0,11.1,37.6,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,27855,4,2,24,5,0,0,0,60,FALSE,0,1,0
Andros Townsend,MID,Everton,1,0,21,0,40.5,482,4,1,0,7.1,30.8,2021-08-14T14:00:00Z,69,16,0,0,0,0,1,0,47331,1,3,0,5,0,0,0,55,TRUE,0,1,0
Jonjo Shelvey,MID,Newcastle,0,0,7,0,14.4,291,9,4,0,1.8,3.6,2021-08-15T13:00:00Z,69,19,0,0,0,0,1,0,9252,4,2,0,1,0,0,0,55,TRUE,1,1,0
Marcos Alonso,DEF,Chelsea,0,3,46,1,35.5,122,3,0,1,12.1,56,2021-08-14T14:00:00Z,85,7,0,0,0,0,1,0,101537,0,3,29,15,0,0,0,55,TRUE,0,1,0
Allan Marques Loureiro,MID,Everton,0,0,6,0,2,171,4,1,0,2,11.4,2021-08-14T14:00:00Z,90,16,0,0,0,0,1,0,78248,1,3,7,2,0,0,0,45,TRUE,0,1,0
Adam Armstrong,FWD,Southampton,0,0,24,0,1,525,4,3,1,7.4,33.2,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,65676,1,3,40,6,0,0,0,60,FALSE,0,1,0
James Milner,MID,Liverpool,0,0,10,1,18.8,221,7,0,0,4,21,2021-08-14T16:30:00Z,90,15,0,0,0,0,1,0,6425,3,0,0,2,0,0,0,50,FALSE,1,1,0
